"Project","Site","Date","Time","Type","Location","Pick up date","depth","lat","lon","SampleID","nitrate isotopes","scint_frozen_yn","anions_yn","cations_yn","water isotopes","TNDOC_pour_yn","filtered_uM","spcond","T","sampled_by","comments","DateTime","year"
"DOD","POKE",2019-05-24,"20:00","stream","autosampler",NA,NA,NA,NA,"14131",NA,"n","y","y","n","14131",0.7,NA,NA,NA,NA,2019-05-24 20:00:00,2019
"DOD","POKE",2019-05-24,"8:00","stream","autosampler",NA,NA,NA,NA,"14138",NA,"n","y","y","n","14138",0.7,NA,NA,NA,NA,2019-05-24 08:00:00,2019
"DOD","VAUL",2019-05-24,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 15",NA,"n","y","y","n","Vault 5/30/19 15",0.7,NA,NA,NA,NA,2019-05-24 20:00:00,2019
"DOD","POKE",2019-05-25,"8:00","stream","autosampler",NA,NA,NA,NA,"4634",NA,"n","y","y","n","4634",0.7,NA,NA,NA,NA,2019-05-25 08:00:00,2019
"DOD","POKE",2019-05-25,"20:00","stream","autosampler",NA,NA,NA,NA,"14147",NA,"n","y","y","n","14147",0.7,NA,NA,NA,NA,2019-05-25 20:00:00,2019
"DOD","VAUL",2019-05-25,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 16",NA,"n","y","y","n","Vault 5/30/19 16",0.7,NA,NA,NA,NA,2019-05-25 20:00:00,2019
"DOD","POKE",2019-05-26,"8:00","stream","autosampler",NA,NA,NA,NA,"4623",NA,"n","y","y","n","4623",0.7,NA,NA,NA,NA,2019-05-26 08:00:00,2019
"DOD","POKE",2019-05-26,"20:00","stream","autosampler",NA,NA,NA,NA,"14175",NA,"n","y","y","n","14175",0.7,NA,NA,NA,NA,2019-05-26 20:00:00,2019
"DOD","VAUL",2019-05-26,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 17",NA,"n","y","y","n","Vault 5/30/19 17",0.7,NA,NA,NA,NA,2019-05-26 20:00:00,2019
"DOD","POKE",2019-05-27,"8:00","stream","autosampler",NA,NA,NA,NA,"4610",NA,"n","y","y","n","4610",0.7,NA,NA,NA,NA,2019-05-27 08:00:00,2019
"DOD","POKE",2019-05-27,"20:00","stream","autosampler",NA,NA,NA,NA,"4621",NA,"n","y","y","n","4621",0.7,NA,NA,NA,NA,2019-05-27 20:00:00,2019
"DOD","VAUL",2019-05-27,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 18",NA,"n","y","y","n","Vault 5/30/19 18",0.7,NA,NA,NA,NA,2019-05-27 20:00:00,2019
"DOD","POKE",2019-05-28,"20:00","stream","autosampler",NA,NA,NA,NA,"4612",NA,"n","y","y","n","4612",0.7,NA,NA,NA,NA,2019-05-28 20:00:00,2019
"DOD","POKE",2019-05-28,"8:00","stream","autosampler",NA,NA,NA,NA,"14137",NA,"n","y","y","n","14137",0.7,NA,NA,NA,NA,2019-05-28 08:00:00,2019
"DOD","VAUL",2019-05-28,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 19",NA,"n","y","y","n","Vault 5/30/19 19",0.7,NA,NA,NA,NA,2019-05-28 20:00:00,2019
"DOD","POKE",2019-05-29,"20:00","stream","autosampler",NA,NA,NA,NA,"4588",NA,"n","y","y","n","4588",0.7,NA,NA,NA,NA,2019-05-29 20:00:00,2019
"DOD","POKE",2019-05-29,"8:00","stream","autosampler",NA,NA,NA,NA,"14159",NA,"n","y","y","n","14159",0.7,NA,NA,NA,NA,2019-05-29 08:00:00,2019
"DOD","VAUL",2019-05-29,"20:00","stream","autosampler",2019-05-30,NA,NA,NA,"Vault 20",NA,"n","y","y","n","Vault 5/30/19 20",0.7,NA,NA,NA,NA,2019-05-29 20:00:00,2019
