"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"79","2021-05-05 12:30:00",2021-05-05 12:30:00,124.479166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2021-05-05 12:45:00",2021-05-05 12:45:00,124.489583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2021-05-05 13:00:00",2021-05-05 13:00:00,124.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2021-05-05 13:15:00",2021-05-05 13:15:00,124.510416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2021-05-05 13:30:00",2021-05-05 13:30:00,124.520833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2021-05-05 13:45:00",2021-05-05 13:45:00,124.53125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2021-05-05 14:00:00",2021-05-05 14:00:00,124.541666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2021-05-05 14:15:00",2021-05-05 14:15:00,124.552083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2021-05-05 14:30:00",2021-05-05 14:30:00,124.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2021-05-05 14:45:00",2021-05-05 14:45:00,124.572916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2021-05-05 15:00:00",2021-05-05 15:00:00,124.583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2021-05-05 15:15:00",2021-05-05 15:15:00,124.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2021-05-05 15:30:00",2021-05-05 15:30:00,124.604166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2021-05-05 15:45:00",2021-05-05 15:45:00,124.614583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2021-05-05 16:00:00",2021-05-05 16:00:00,124.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2021-05-05 16:15:00",2021-05-05 16:15:00,124.635416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2021-05-05 16:30:00",2021-05-05 16:30:00,124.645833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2021-05-05 16:45:00",2021-05-05 16:45:00,124.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2021-05-05 17:00:00",2021-05-05 17:00:00,124.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2021-05-05 17:15:00",2021-05-05 17:15:00,124.677083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","2021-05-05 17:30:00",2021-05-05 17:30:00,124.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2021-05-05 17:45:00",2021-05-05 17:45:00,124.697916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2021-05-05 18:00:00",2021-05-05 18:00:00,124.708333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2021-05-05 18:15:00",2021-05-05 18:15:00,124.71875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","2021-05-05 18:30:00",2021-05-05 18:30:00,124.729166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","2021-05-05 18:45:00",2021-05-05 18:45:00,124.739583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
